object_id,utility_company,start_datetime,estimated_restoration_datetime,cause,impacted_customers,county,outage_status,outage_type,incident_id,estimated_restoration_hours
10197828,PGE,2026-06-10 16:04:43+00:00,2026-06-10 23:00:00+00:00,PLNND SHUTDOWN,2,SANTA CLARA,Active,Planned,276025,6.921388888888889
10197829,PGE,2026-06-10 16:05:00+00:00,2026-06-11 01:30:00+00:00,PLNND SHUTDOWN,25,SANTA CRUZ,Active,Planned,276027,9.416666666666666
10197830,PGE,2026-06-10 16:08:42+00:00,2026-06-10 23:00:00+00:00,PLNND SHUTDOWN,34,ALAMEDA,Active,Planned,276029,6.855
10197831,PGE,2026-06-10 16:12:00+00:00,2026-06-11 02:15:00+00:00,EMERG REPAIRS,182,SAN MATEO,Active,Not Planned,276032,10.05
10197832,PGE,2026-06-10 16:13:32+00:00,2026-06-10 23:00:00+00:00,PLNND SHUTDOWN,6,SAN MATEO,Active,Planned,276035,6.774444444444445
10197833,PGE,2026-06-10 16:13:18+00:00,2026-06-10 22:00:00+00:00,PLNND SHUTDOWN,1,TUOLUMNE,Active,Planned,276036,5.778333333333333
10197834,PGE,2026-06-10 16:13:46+00:00,2026-06-10 22:00:00+00:00,PLNND SHUTDOWN,4,BUTTE,Active,Planned,276037,5.770555555555555
10197835,PGE,2026-06-10 16:14:00+00:00,2026-06-10 22:00:00+00:00,PLNND SHUTDOWN,2,FRESNO,Active,Planned,276038,5.766666666666667
10197836,PGE,2026-06-10 16:16:47+00:00,2026-06-10 21:00:00+00:00,PLNND SHUTDOWN,7,YOLO,Active,Planned,276041,4.720277777777778
10197837,PGE,2026-06-10 16:14:00+00:00,2026-06-10 22:00:00+00:00,PLNND SHUTDOWN,10,FRESNO,Active,Planned,276042,5.766666666666667
10197838,PGE,2026-06-10 16:21:00+00:00,2026-06-10 22:00:00+00:00,PLNND SHUTDOWN,17,FRESNO,Active,Planned,276043,5.65
10197839,PGE,2026-06-10 16:26:04+00:00,2026-06-10 21:00:00+00:00,EMERG REPAIRS,17,SONOMA,Active,Not Planned,276048,4.565555555555555
10197840,PGE,2026-06-10 16:23:30+00:00,2026-06-10 23:00:00+00:00,PLNND SHUTDOWN,1,MONTEREY,Active,Planned,276050,6.608333333333333
10197841,PGE,2026-06-10 16:30:45+00:00,2026-06-10 22:45:00+00:00,UNKNOWN / NOT PROVIDED,1,SAN MATEO,Active,Not Planned,276052,6.2375
10197842,PGE,2026-06-10 16:31:25+00:00,2026-06-11 02:45:00+00:00,EMERG REPAIRS,1,SANTA BARBARA,Active,Not Planned,276054,10.22638888888889
10197843,PGE,2026-06-10 16:33:35+00:00,2026-06-11 02:30:00+00:00,DAMGE UG CABLE,1,KERN,Active,Not Planned,276060,9.940277777777778
10197844,PGE,2026-06-10 16:28:11+00:00,2026-06-10 22:30:00+00:00,PLNND SHUTDOWN,29,SANTA CRUZ,Active,Planned,276063,6.030277777777778
10197845,PGE,2026-06-10 16:30:30+00:00,2026-06-10 21:00:00+00:00,PLNND SHUTDOWN,7,YOLO,Active,Planned,276066,4.491666666666666
10197846,PGE,2026-06-10 16:10:00+00:00,2026-06-10 23:00:00+00:00,PLNND SHUTDOWN,95,SAN FRANCISCO,Active,Planned,276068,6.833333333333333
10197847,PGE,2026-06-10 15:19:00+00:00,2026-06-10 23:00:00+00:00,PLNND SHUTDOWN,5,SAN LUIS OBISPO,Active,Planned,276070,7.683333333333334
